municipio_distrito;latitude;longitude;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;poblacion_distrito;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro;40.408072;-3.676729;29/06/2021 12:04;;;105;87,24;12414;120238;10314,06;79603
Madrid-Salamanca;40.43;-3.677778;29/06/2021 12:04;;;175;118,37;16615;147349;11238,43;79604
Madrid-Centro;40.415347;-3.707371;29/06/2021 12:04;;;173;123,11;15821;140360;11258,58;79601
Madrid-Arganzuela;40.402733;-3.695403;29/06/2021 12:04;;;206;132,35;16282;156010;10460,78;79602
Madrid-Chamartín;40.453333;-3.6775;29/06/2021 12:04;;;182;123,35;15996;147483;10841,14;79605
Madrid-Tetuán;40.460556;-3.7;29/06/2021 12:04;;;128;79,31;17464;161233;10821,06;79606
Madrid-Chamberí;40.432792;-3.697186;29/06/2021 12:04;;;185;131,36;16486;140516;11705,98;79607
Madrid-Fuencarral-El Pardo;40.478611;-3.709722;29/06/2021 12:04;;;204;81,63;24499;250655;9803,17;79608
Madrid-Moncloa-Aravaca;40.435151;-3.718765;29/06/2021 12:04;;;113;92,88;14199;121880;11670,67;79609
Madrid-Latina;40.402461;-3.741294;29/06/2021 12:04;;;167;68,96;25016;242447;10330,66;79610
Madrid-Carabanchel;40.383669;-3.727989;29/06/2021 12:04;;;172;66,1;28794;260801;11065,25;79611
Madrid-Usera;40.381336;-3.706856;29/06/2021 12:04;;;97;67,8;16452;143141;11499,02;79612
Madrid-Puente de Vallecas;40.398204;-3.669059;29/06/2021 12:04;;;168;69,74;32344;241901;13425,98;79613
Madrid-San Blas - Canillejas;40.426001;-3.612764;29/06/2021 12:04;;;152;94,31;16636;161696;10322,28;79620
Madrid-Barajas;40.470196;-3.58489;29/06/2021 12:04;;;67;134,05;4907;50320;9817,34;79621
Madrid-Moratalaz;40.409869;-3.644436;29/06/2021 12:04;;;90;94,17;10609;95375;11101,11;79614
Madrid-Ciudad Lineal;40.453333;-3.65;29/06/2021 12:04;;;155;70,49;24269;220118;11036,83;79615
Madrid-Hortaleza;40.469457;-3.640482;29/06/2021 12:04;;;206;106,61;19116;194529;9893,13;79616
